year	pages	words
1776	378	126609
1776	377	124133
1776	335	111930
1776	326	104956
1776	342	110560
	300	40546
1788	275	58309
1728	133	40193
	94	20318
1728	157	47512
	8	1798
	31	5754
1778	56	21302
1800	265	94899
1778	52	15349
1756	205	71212
1767	103	14796
	8	2486
1740	233	143667
1740	297	193431
1800	49	16613
1765	194	42324
	8	1057
1800	75	32682
	48	18817
1765	167	37927
1754	267	40167
1737	277	58529
1774	191	34628
	48	5872
1794	814	723257
1775	99	17639
1752	163	39564
	143	25368
1711	145	74362
	214	53838
1776	151	17540
1753	216	73097
1727	470	104750
1704	503	187529
	186	32576
1794	266	40555
1792	88	15369
1727	517	127125
	2	2111
1709	255	74571
1771	335	121835
	4	1523
1704	557	201304
1778	407	144169
1771	347	117638
1778	504	169890
1778	479	160410
1796	281	107688
1778	480	163920
1796	303	96466
1778	443	149647
1796	364	117986
1778	578	230289
	16	3485
	34	5895
1791	14	1588
1792	16	2680
1734	22	2529
1716	38	3790
1782	184	42174
	124	26399
	8	1261
1799	168	47390
1760	264	48338
1722	239	55935
1722	294	70871
1775	186	55672
	24	4796
	56	12023
1762	60	7498
1768	404	120794
1753	230	28663
1750	208	40272
1762	206	38367
1752	421	100450
1774	143	14710
1788	217	48270
1769	243	45087
1792	16	3648
1765	228	67893
	216	76147
1794	72	13019
1789	76	26949
1778	24	3219
1769	48	5666
1785	26	2947
1794	11	1471
1787	215	43601
1726	101	22034
1784	60	8831
1761	24	3281
1797	217	54453
1798	143	18084
1760	233	69451
1765	23	3708
1759	272	60719
1773	160	42806
1789	36	5666
1720	155	27708
1769	248	45817
1728	56	10355
	14	1391
1790	237	37270
1789	313	52973
1778	372	108292
1776	176	38669
1766	331	99766
1766	329	95455
1766	324	94120
1784	395	54037
1769	316	60858
1776	200	43789
1793	91	15810
1769	336	63395
1791	227	36721
1766	335	96777
1769	276	54192
1775	183	50510
1769	322	79429
1796	184	45018
1764	204	49517
1717	39	7709
	489	47315
1773	129	31151
1773	121	22459
1733	95	28449
	61	14109
	167	64611
	40	9242
	489	114800
1753	151	24043
1758	90	12941
1774	270	79009
1800	245	39225
1788	359	104464
1754	429	100092
1741	77	17278
	156	19532
1782	236	34306
1788	62	15651
1800	47	6983
1779	183	25392
1788	384	109475
1771	331	110166
1745	240	60624
1789	374	135175
1779	226	57561
1779	225	58364
1779	230	58847
1779	213	53687
1779	272	70285
1779	221	56429
	101	23622
1779	264	67541
1788	240	31400
1779	255	65439
1790	383	74995
1788	309	45846
	170	40144
